unique_id_num,unique_id,date_tagged,tagging_crew,tagger,use,total_length,year,date_detected,time_detected,flight_num,flight_day,antenna,mort,power,hits,latitude,longitude,highest_signal,current_fate,current_fate_num,fate_detailed,fate_detailed_num,final_fate_simplified,notes,tagging_section,survey_section,season,season_use,spawning_season,tagging_habitat,life_history,section_most_occupied,homerange,cumulative_distance_traveled,cumulative_distance_traveled_per_obs,mean_upriver_position,,unique_id_num,unique_id,time_detected
4,10-4,9/23/2018,"AG, KD, MM",,Y,814,2020,2/8/2020,12:41:50 PM,8,2,wing,TRUE,59,2,64.889182,-151.437702,TRUE,dead,1,dead,1,Mortality,,Lower,Lower,1_winter,Y,2019_2020,mainstem,mainstem,Lower,,,,,,4,10-4,12:41:50 PM
5,10-5,9/26/2018,"LG, DF",,Y,630,2018,9/26/2018,12:00:00 AM,0.1,0,NA,FALSE,0,0,64.9789,-150.81401,NA,alive,0,alive,0,Alive,,Lower,Lower,0_Tagging,Y,,mainstem,mainstem,Yukon,,,,,,5,10-5,12:00:00 AM
5,10-5,9/26/2018,"LG, DF",,Y,630,2019,4/29/2019,12:00:00 AM,2.5,5,Yukon belly,TRUE,0,0,65.17656,-153.070942,,alive,0,alive,0,Alive,,Lower,Yukon,2_spring,Y,,mainstem,mainstem,Yukon,,,,,,5,10-5,12:00:00 AM
5,10-5,9/26/2018,"LG, DF",,Y,630,2019,7/2/2019,12:00:00 AM,3.5,5,Yukon belly,FALSE,0,0,64.946553,-154.387895,NA,alive,0,alive,0,Alive,,Lower,Yukon,3_summer,Y,,mainstem,mainstem,Yukon,,,,,,5,10-5,12:00:00 AM
5,10-5,9/26/2018,"LG, DF",,N,630,2019,9/8/2019,12:00:00 AM,4.5,5,AMG,FALSE,78,14,64.707781,-156.741282,NA,alive,0,alive,0,Alive,"Galena tracking station. These points are legit, however don't trust that this fish wasn't dying or not braindead. Only moving downriver.",Lower,Yukon,4_fall,Y,,mainstem,mainstem,Yukon,,,,,,5,10-5,12:00:00 AM
5,10-5,9/26/2018,"LG, DF",,N,630,2019,10/5/2019,12:00:00 AM,5,5,Yukon belly,FALSE,0,0,62.636972,-160.163152,,alive,0,alive,0,Alive,"These points are legit, however don't trust that this fish wasn't dying or not braindead. Only moving downriver.",Lower,Yukon,4_fall,Y,,mainstem,mainstem,Yukon,,,,,,5,10-5,12:00:00 AM
6,10-6,9/24/2018,"BC, HS",,Y,645,2018,9/24/2018,12:00:00 AM,0.1,0,NA,NA,0,0,64.89774,-151.26482,NA,alive,0,alive,0,Alive,,Lower,Lower,0_Tagging,Y,,mainstem,mainstem,Lower,,,,,,6,10-6,12:00:00 AM
6,10-6,9/24/2018,"BC, HS",,Y,645,2019,1/27/2019,11:05:09 AM,1,2,belly,FALSE,204,5,64.967264,-150.649972,TRUE,alive,0,alive,0,Alive,,Lower,Lower,1_winter,Y,2018_2019,mainstem,mainstem,Lower,,,,,,6,10-6,11:05:09 AM
6,10-6,9/24/2018,"BC, HS",,Y,645,2019,2/5/2019, 2:28:54 PM,2,1,belly,FALSE,248,23,64.960186,-150.710337,TRUE,alive,0,alive,0,Alive,,Lower,Lower,1_winter,N,2018_2019,mainstem,mainstem,Lower,,,,,,6,10-6, 2:28:54 PM
6,10-6,9/24/2018,"BC, HS",,Y,645,2019,5/19/2019, 5:44:36 PM,3,1,belly,TRUE,69,1,65.164957,-152.011697,TRUE,alive,0,alive,0,Alive,,Lower,Yukon,2_spring,Y,,mainstem,mainstem,Lower,,,,,,6,10-6, 5:44:36 PM
6,10-6,9/24/2018,"BC, HS",,N,645,2019,7/2/2019,12:00:00 AM,3.5,5,Yukon belly,FALSE,0,0,65.180078,-151.95241,NA,alive,0,alive,0,Alive,"real point, but already have one for summer",Lower,Yukon,3_summer,Y,,mainstem,mainstem,Lower,,,,,,6,10-6,12:00:00 AM
6,10-6,9/24/2018,"BC, HS",,Y,645,2019,7/26/2019, 4:21:22 PM,4,2,wing,FALSE,56,5,65.160613,-151.96637,FALSE,alive,0,alive,0,Alive,,Lower,Yukon,3_summer,Y,,mainstem,mainstem,Lower,,,,,,6,10-6, 4:21:22 PM
6,10-6,9/24/2018,"BC, HS",,N,645,2019,10/5/2019,12:00:00 AM,5,5,Yukon belly,FALSE,0,1,66.550383,-146.27031,NA,alive,0,fake,4,Fake,"certainly feasible, but a far swim",Lower,Yukon,4_fall,Y,,mainstem,mainstem,Lower,,,,,,6,10-6,12:00:00 AM
6,10-6,9/24/2018,"BC, HS",,Y,645,2019,12/18/2019,12:12:23 PM,6,2,belly,FALSE,85,10,64.857745,-149.757128,TRUE,alive,0,alive,0,Alive,,Lower,Lower,1_winter,N,2019_2020,mainstem,mainstem,Lower,,,,,,6,10-6,12:12:23 PM
6,10-6,9/24/2018,"BC, HS",,Y,645,2020,2/8/2020,11:55:28 AM,8,2,belly,TRUE,74,7,64.722162,-149.1499,TRUE,alive,0,alive,0,Alive,,Lower,Lower,1_winter,Y,2019_2020,mainstem,mainstem,Lower,,,,,,6,10-6,11:55:28 AM
6,10-6,9/24/2018,"BC, HS",,Y,645,2020,5/27/2020, 4:02:04 PM,9,1,belly,FALSE,71,2,65.161377,-151.98698,TRUE,alive,0,alive,0,Alive,,Lower,Yukon,2_spring,Y,,mainstem,mainstem,Lower,,,,,,6,10-6, 4:02:04 PM
