"","Tagging_Date","Unique_fish_number","Frequency_tag_ID_Identifier","Section_Tagged","Final_Fate","Last_Date_Found_Alive","Days_Alive","Home_Range_RKM","Cumulative_Distance_Traveled_RKM","Cumulative_Distance_Traveled_per_Observation_Interval","Section_Most_Occupied","Mean_Upriver_Position","Life_History"
"137","9/26/2018",137,"22-36","Middle","",2019-01-27,123,34.6090955130296,34.6090955130296,34.6090955130296,"Middle",312.010713932679,"mainstem"
"138","9/27/2018",138,"22-37","Middle","",2019-02-07,133,14.4701602245196,16.5918024479161,8.29590122395803,"Middle",321.208959744535,"mainstem"
"139","9/26/2018",139,"22-38","Middle","",2019-07-26,303,193.846649882291,218.929595006362,54.7323987515904,"Lower",186.518765964307,"mainstem"
"140","9/27/2018",140,"22-39","Middle","",2020-02-05,496,85.0397729743457,106.436028874956,21.2872057749912,"Middle",372.878988025768,"tributary"
"141","9/26/2018",141,"22-40","Middle","",2021-01-27,854,20.4607738942786,68.1848398732715,5.68206998943929,"Middle",350.463069060472,"mainstem"
"142","9/27/2018",142,"22-41","Middle","",2019-07-26,302,50.4924613583582,100.20185351428,25.05046337857,"Middle",343.09517268222,"mainstem"
"143","9/19/2018",143,"22-42","Middle","",2019-07-26,310,78.2789270948963,109.112947920507,27.2782369801267,"Middle",310.91387631313,"mainstem"
"144","9/17/2018",144,"22-43","Middle","",2019-10-17,395,215.768728763158,225.111465572863,45.0222931145726,"Lower",216.323875204889,"tributary"
"145","9/18/2018",145,"22-44","Middle","",2018-09-18,0,0,0,NA,"Middle",354.371059288149,"mainstem"
"146","5/9/2019",146,"22-44.2","Middle","",2019-07-26,78,114.376729331709,114.376729331709,57.1883646658547,"Lower",242.890875847578,"mainstem"
"147","5/2/2019",147,"22-45","Middle","",2019-10-07,158,29.021836030519,29.021836030519,9.67394534350634,"Upper",521.805081502845,"mainstem"
"148","10/4/2018",148,"22-46","Middle","",2019-05-20,228,24.303777512574,25.1855100254905,8.39517000849684,"Middle",463.983085827911,"mainstem"
"149","10/4/2018",149,"22-47","Middle","",2019-02-06,125,47.0221370714086,47.0221370714086,23.5110685357043,"Middle",504.208386575659,"mainstem"
"150","10/4/2018",150,"22-48","Middle","",2019-02-06,125,0.880709977529999,1.15300072270343,0.576500361351715,"Middle",429.677861479821,"mainstem"
"151","5/8/2019",151,"22-49","Middle","",2019-05-08,0,0,0,NA,"Middle",335.654587901191,"mainstem"
"152","6/5/2019",152,"22-49.2","Middle","",2020-02-08,248,10.3308013962516,25.5560658415999,6.38901646039997,"Middle",329.152879846138,"mainstem"
"153","5/9/2019",153,"22-50","Middle","",2019-07-26,78,0.688179722695494,0.688179722695495,0.688179722695495,"Middle",337.588035055374,"mainstem"
"154","5/9/2019",154,"22-51","Middle","",2020-02-05,272,20.6935795537964,20.6935795537964,6.89785985126545,"Middle",347.865957434859,"mainstem"
"155","5/9/2019",155,"22-52","Middle","",2021-01-13,615,53.9181306401449,99.9147424197055,16.6524570699509,"Middle",310.701420079523,"mainstem"
"156","5/10/2019",156,"22-53","Middle","",2019-07-25,76,3.02540259959859,3.02540259959859,1.5127012997993,"Middle",334.442121282472,"mainstem"
"157","5/24/2019",157,"22-54","Lower","",2020-05-27,369,22.7364067026502,33.554895559689,5.5924825932815,"Lower",189.846240197442,"tributary"
"158","5/7/2019",158,"22-55","Middle","",2019-05-20,13,0.399999999999945,0.399999999999942,0.399999999999942,"Middle",334.765285769106,"mainstem"
"159","5/24/2019",159,"22-56","Lower","",2021-01-27,614,51.8084220948207,137.719613468841,15.3021792743157,"Lower",198.664983560031,"tributary"
"160","5/24/2019",160,"22-57","Lower","",2019-05-24,0,0,0,NA,"Lower",198.280404251097,"tributary"
"161","5/3/2019",161,"22-58","Middle","",2021-01-26,634,90.0063043614155,161.88900872715,23.1270012467358,"Middle",400.908469269643,"tributary"
"162","5/25/2019",162,"22-59","Lower","",2019-05-25,0,0,0,NA,"Lower",118.086364124078,"tributary"
"163","5/17/2019",163,"22-60","Middle","",2019-10-07,143,2.72665816529752,5.24843385201387,1.74947795067129,"Middle",408.42654670553,"tributary"
"164","5/3/2019",164,"22-61","Middle","",2019-10-07,157,65.2765466403856,99.2382087063846,33.0794029021282,"Middle",410.993563266366,"tributary"
"165","9/25/2019",165,"22-61.2","Upper","",2020-02-05,133,1.38454258249189,1.98062233143268,0.660207443810893,"Upper",903.322751149658,"tributary"
"166","6/6/2019",166,"22-62","Middle","",2019-07-26,50,11.60896016961,11.60896016961,11.60896016961,"Middle",327.114780722589,"mainstem"
"167","5/15/2019",167,"22-63","Middle","",2021-01-13,609,74.1903414285977,133.320848960446,19.0458355657779,"Middle",362.870945175003,"tributary"
"168","5/2/2019",168,"22-64","Middle","",2021-01-13,622,113.517751986353,349.840108010037,38.8711231122263,"Middle",395.498905729413,"tributary"
"169","5/2/2019",169,"22-65","Middle","",2020-07-28,453,54.3092187906638,120.289426613475,20.0482377689125,"Middle",362.928012247723,"tributary"
"170","5/14/2019",170,"22-66","Middle","",2019-05-14,0,0,0,NA,"Middle",361.911523523102,"tributary"
"171","5/14/2019",171,"22-67","Middle","",2019-07-26,73,53.610573810394,53.610573810394,26.805286905197,"Middle",317.314976677834,"tributary"
"172","9/21/2018",172,"22-68","Upper","",2019-07-25,307,10.3552528897237,10.3552528897237,10.3552528897237,"Upper",577.636181206441,"lake"
"173","9/21/2018",173,"22-69","Upper","",2019-07-25,307,32.3376151578391,37.5215645740964,12.5071881913655,"Upper",571.340790968065,"lake"
"174","9/21/2018",174,"22-70","Upper","",2018-09-21,0,0,0,NA,"Upper",565.717796812799,"mainstem"
"175","9/21/2018",175,"22-71","Upper","",2019-07-25,307,33.2519897716637,33.2519897716637,16.6259948858318,"Upper",539.724962718787,"mainstem"
"176","9/20/2018",176,"22-72","Upper","",2018-09-20,0,0,0,NA,"Upper",512.288463529842,"mainstem"
"177","9/21/2018",177,"22-73","Upper","",2019-05-20,241,0.229288981174352,0.229288981174353,0.229288981174353,"Upper",560.428209805282,"lake"
"178","9/20/2018",178,"22-74","Upper","",2018-09-20,0,0,0,NA,"Upper",531.05543271088,"mainstem"
"179","9/22/2018",179,"22-75","Upper","",2021-01-26,857,323.67357733165,477.271921245509,39.7726601037924,"Upper",756.519557707215,"tributary"
"180","9/22/2018",180,"22-76","Upper","",2020-02-05,501,31.9903724873532,37.4161247748283,4.67701559685353,"Upper",611.899821405305,"mainstem"
"181","9/22/2018",181,"22-77","Upper","",2019-02-06,137,9.52032566237635,9.79951054240915,4.89975527120458,"Upper",628.927730433724,"mainstem"
"183","9/27/2018",183,"22-79","Upper","",2019-02-06,132,8.44485156332941,8.44485156332942,4.22242578166471,"Upper",716.150479409187,"mainstem"
"184","9/27/2018",184,"22-80","Upper","",2020-02-05,496,29.8127578036489,57.5569017203363,28.7784508601681,"Upper",730.655136847967,"mainstem"
"185","9/24/2018",185,"22-81","Upper","",2018-09-24,0,0,0,NA,"Upper",895.122162170757,"mainstem"
"186","5/8/2019",186,"22-81.2","Middle","",2021-01-26,629,79.9156222143507,148.361852526385,24.7269754210642,"Middle",360.135156517961,"mainstem"
"187","9/24/2018",187,"22-82","Upper","",2018-09-24,0,0,0,NA,"Upper",906.225479184419,"mainstem"
"188","5/9/2019",188,"22-82.2","Middle","",2019-05-09,0,0,0,NA,"Middle",326.860052953173,"mainstem"
"189","9/24/2018",189,"22-83","Upper","",2019-05-20,238,21.8650862974279,42.7394159078303,14.2464719692768,"Upper",909.721143520001,"tributary"
"190","9/25/2018",190,"22-84","Upper","",2019-02-06,134,16.9261718788271,17.1123762371241,8.55618811856204,"Upper",911.590458745241,"tributary"
"191","5/14/2019",191,"22-84.2","Upper","",2021-01-16,613,102.390349946822,193.324206652714,64.4414022175713,"Upper",949.236625970039,"tributary"
"192","9/25/2018",192,"22-85","Upper","",2020-02-05,498,58.5944932652426,61.1354814712002,15.2838703678001,"Upper",943.718282176554,"tributary"
"193","5/10/2019",193,"22-86","Upper","",2021-01-26,627,27.8210926438272,70.837409785313,7.0837409785313,"Upper",574.59146958214,"lake"
"194","5/10/2019",194,"22-87","Upper","",2021-01-26,627,23.2857411233927,66.2842859674741,6.62842859674741,"Upper",575.255074168545,"lake"
"195","5/10/2019",195,"22-88","Upper","",2019-07-25,76,11.3051190938458,15.320512638096,7.66025631904798,"Upper",575.555676931593,"lake"
"196","5/10/2019",196,"22-89","Upper","",2020-07-29,446,23.9851322117564,51.1373108059738,10.2274621611948,"Upper",565.022932305749,"lake"
"197","5/31/2019",197,"22-90","Upper","",2019-10-07,129,39.6866779447895,48.6397238145524,24.3198619072762,"Upper",641.052272752579,"lake"
"198","5/30/2019",198,"22-91","Upper","",2019-05-30,0,0,0,NA,"Upper",614.05393470963,"mainstem"
"199","5/31/2019",199,"22-92","Upper","",2020-07-29,425,14.6980329123025,21.9494943925516,3.65824906542527,"Upper",610.641434637855,"mainstem"
"200","5/30/2019",200,"22-93","Upper","",2019-07-25,56,45.2381040819299,45.2381040819299,45.2381040819299,"Upper",593.641055888249,"mainstem"
"201","5/15/2019",201,"22-94","Upper","",2020-07-29,441,22.0279007851017,36.4642981962208,5.20918545660297,"Upper",713.334870848119,"mainstem"
"202","5/31/2019",202,"22-95","Upper","",2019-07-25,55,18.7047966502988,18.7047966502988,18.7047966502988,"Upper",601.517931453939,"mainstem"
"203","5/16/2019",203,"22-96","Upper","",2021-01-26,621,67.9937345519261,172.905770678095,17.2905770678095,"Upper",919.539365508517,"tributary"
"204","5/22/2019",204,"22-97","Upper","",2019-07-25,64,1.00386932591966,1.00386932591966,1.00386932591966,"Upper",875.312735519499,"tributary"
"205","5/21/2019",205,"22-98","Upper","",2019-05-21,0,0,0,NA,"Upper",930.011497428785,"tributary"
"206","5/16/2019",206,"22-99","Upper","",2019-05-20,4,0.396582674776887,0.396582674776887,0.396582674776887,"Upper",820.314183545605,"mainstem"
"207","5/22/2019",207,"22-100","Upper","",2021-01-26,615,87.1069521510947,266.83310182931,33.3541377286638,"Upper",885.08511196414,"tributary"
