"","Min","Max","Median","SD","SE","CI95"
"mainstem Lower",0.627650798344155,224.031057693826,57.9398581024319,57.3170832203746,6.57472035516115,"(43.82 - 79.27)"
"mainstem Middle",0.399999999999942,144.258200728453,14.7809090368662,27.9086650882463,3.35980845513356,"(11.62 - 21.41)"
"mainstem Upper",0.396582674776887,65.9109262094763,8.24271746286995,15.9717791999437,2.2148872640687,"(6.67 - 12.81)"
"tributary Lower",5.06454108115163,67.8069419076402,25.3933390919565,21.1405963019492,4.0685096552532,"(18.51 - 37.35)"
"tributary Middle",1.24390927786798,62.8296030053327,23.0398035194012,16.7051086632606,3.00032608685502,"(17.63 - 32.78)"
"tributary Upper",0.229288981174353,72.5474629747806,14.8181322861327,15.8962866763002,2.16321062010767,"(12.3 - 20.33)"
