"","n","Min","Max","Mean","SE","CI95"
"Lower",72,0.627650798344155,471.554835762527,140.252017428856,12.8425842895357,"(115 - 165)"
"Middle",88,0.399999999999945,413.36916708153,73.3986487428676,8.58805419626668,"(57 - 90)"
"Upper",81,0.229288981174352,323.67357733165,44.8126902239223,6.14005196125375,"(33 - 57)"
"[600,700]",126,0.229288981174352,357.379761186566,69.7364105829852,7.36772467988414,"(55 - 84)"
"(700,800]",75,0.880709977529999,471.554835762527,95.7467284733597,11.722385667823,"(73 - 119)"
"(800,900]",28,0.396582674776887,413.36916708153,88.2119916630972,16.5189436378434,"(56 - 121)"
"(900,1.05e+03]",12,14.4701602245196,299.245975704158,145.777176405237,28.6062697981838,"(90 - 202)"
"1",241,0.229288981174352,471.554835762527,83.7637105908202,5.90113982958862,"(72 - 95)"
